t,ax,ay,az
7.545053720474243,0.0231,0.0439,-0.1946
7.556843519210815,0.1461,0.135,-0.3343
7.565788984298706,0.1782,0.1779,-0.4952
7.577033281326294,0.2208,0.2109,-0.5709
7.586654424667358,0.228,0.2228,-0.6202
7.597214937210083,0.2099,0.2134,-0.6831
7.607525587081909,0.1964,0.1748,-0.7089
7.614458084106445,0.2239,0.1219,-0.6377
7.6264073848724365,0.239,0.1096,-0.5146
7.634740352630615,0.1766,0.084,-0.4524
7.646568298339844,0.0972,0.0991,-0.36
7.655531644821167,-0.0453,0.0288,-0.0748
7.667137145996094,-0.0811,-0.0352,0.3203
7.676212787628174,-0.2532,-0.2065,0.6767
7.684286594390869,-0.2531,-0.2361,0.8853
7.696859121322632,-0.2331,-0.2689,0.9222
7.70486855506897,-0.259,-0.2194,0.8867
7.71672248840332,-0.2498,-0.1684,0.7714
7.7253098487854,-0.2592,-0.1387,0.6127
7.736943483352661,-0.2589,-0.1348,0.4647
7.745881795883179,-0.2024,-0.0722,0.179
7.757227182388306,-0.1016,-0.0394,0.0119
7.7663679122924805,-0.047,-0.0486,-0.0817
7.774467706680298,0.0585,-0.0051,-0.197
7.786592245101929,0.1169,0.0588,-0.3708
7.79496955871582,0.1364,0.0814,-0.4727
7.806825637817383,0.2042,0.1334,-0.5444
7.815449237823486,0.2136,0.1604,-0.6129
7.827197551727295,0.2519,0.1904,-0.7043
7.837010860443115,0.2215,0.1529,-0.6837
7.84724760055542,0.2278,0.1343,-0.6433
7.856356620788574,0.2522,0.1152,-0.5905
7.864587783813477,0.1648,0.0699,-0.4282
7.876728296279907,0.1096,0.0457,-0.2603
7.8854289054870605,0.0178,0.0137,0.002
7.896708250045776,-0.1105,-0.0632,0.3259
7.905486822128296,-0.1306,-0.0892,0.4839
7.917208194732666,-0.2944,-0.1781,0.6928
7.926010847091675,-0.2808,-0.2667,0.8796
7.9374730587005615,-0.2382,-0.3132,0.8584
7.946692228317261,-0.2513,-0.3835,0.7678
7.9547178745269775,-0.2258,-0.3007,0.5738
7.966698408126831,-0.2242,-0.1663,0.4329
7.975100517272949,-0.1765,-0.085,0.327
7.986945390701294,-0.1329,0.0139,0.0081
7.995615243911743,-0.0906,0.0975,-0.2187
8.007224321365356,0.0526,0.1186,-0.3027
8.017056941986084,0.1497,0.1425,-0.4581
8.027467727661133,0.2151,0.2369,-0.5646
8.036558866500854,0.2818,0.304,-0.6298
8.044764280319214,0.2742,0.3233,-0.7067
8.0567467212677,0.2509,0.3046,-0.7524
8.065610408782959,0.2087,0.2933,-0.7723
8.07693099975586,0.2523,0.3196,-0.6473
8.085845470428467,0.1686,0.1818,-0.4879
8.097357034683228,0.1476,0.0668,-0.4196
8.106293678283691,0.0303,-0.0649,-0.1307
8.117305517196655,-0.0091,-0.1027,0.2349
8.127381086349487,-0.1385,-0.1917,0.5491
8.134974002838135,-0.2133,-0.2647,0.7285
8.146904945373535,-0.2732,-0.3292,0.9335
8.155398845672607,-0.2946,-0.3143,0.9046
8.16718077659607,-0.2739,-0.2313,0.7426
8.175832986831665,-0.2383,-0.1959,0.6414
8.18736982345581,-0.2385,-0.1794,0.5085
8.196399927139282,-0.2086,-0.1047,0.2858
8.207289218902588,-0.14,-0.0429,0.1818
8.216700077056885,-0.0829,-0.0408,0.0065
8.2250235080719,0.037,0.0452,-0.1866
8.23700761795044,0.1124,0.0769,-0.3351
8.245450735092163,0.1653,0.1557,-0.4794
8.257140874862671,0.1641,0.1954,-0.5798
8.265903234481812,0.1981,0.2421,-0.7001
8.277355194091797,0.1942,0.259,-0.7536
8.286984205245972,0.1798,0.2405,-0.7952
8.294524431228638,0.2787,0.2117,-0.5815
8.306799411773682,0.1553,0.0627,-0.5488
8.315067529678345,0.0961,0.05,-0.4182
8.327150344848633,0.0226,-0.1277,-0.0378
8.335474967956543,-0.0763,-0.2037,0.3198
8.347307443618774,-0.1726,-0.228,0.5342
8.356359004974365,-0.2203,-0.2545,0.6981
8.367501020431519,-0.2797,-0.2803,0.8602
8.376688241958618,-0.2454,-0.2736,0.8117
8.384772539138794,-0.205,-0.2439,0.6993
8.396863460540771,-0.2274,-0.2317,0.5419
8.405243635177612,-0.1151,-0.1412,0.3369
8.417068481445312,-0.1487,-0.1189,0.1763
8.425697326660156,-0.1175,-0.0726,0.0449
8.437228441238403,-0.038,-0.0621,-0.0504
8.446155309677124,0.0521,0.0186,-0.1923
8.457489728927612,0.129,0.0789,-0.3444
8.467174053192139,0.1936,0.1618,-0.4638
8.474735736846924,0.2219,0.2473,-0.5756
8.486904382705688,0.2537,0.2971,-0.7241
8.495335578918457,0.239,0.2749,-0.8015
8.507173299789429,0.2451,0.2335,-0.7971
8.515759229660034,0.2825,0.2592,-0.6055
8.527181625366211,0.2372,0.1163,-0.5286
8.536242246627808,0.2062,0.0937,-0.5123
8.547513723373413,0.0875,-0.0067,-0.2312
8.55664610862732,-0.0109,-0.1035,0.059
8.564985990524292,-0.1605,-0.1819,0.3871
8.57698941230774,-0.3072,-0.2297,0.7123
8.585521697998047,-0.3506,-0.2379,0.9938
8.59737253189087,-0.3524,-0.2517,0.9766
8.60602355003357,-0.2986,-0.2273,0.8068
8.617495775222778,-0.2397,-0.1799,0.6088
8.62644648551941,-0.3007,-0.1987,0.5204
8.637689352035522,-0.2239,-0.1398,0.3553
8.646645307540894,-0.2043,-0.0613,0.2529
8.654898166656494,-0.1787,-0.0419,0.0787
8.666914939880371,-0.0486,0.0027,-0.0608
8.675518274307251,0.0775,0.0609,-0.2128
