time_s,snr_db
12379.953,1.7978293747079768
12379.968,1.808961050552755
12379.984,1.7882940327488062
12379.984,1.737132794710571
12380.0,1.7688894008710319
12380.0,1.793646015439614
12380.015,1.8261166695804505
12380.015,1.8386796016150622
12380.015,1.8616635153241776
12380.031,1.7937866498363917
12380.031,1.7867051026866063
12380.046,1.8146769346713862
12380.078,1.785286616091184
12380.281,1.814326665097258
12380.296,1.8349441431178601
12380.312,1.8126085585688154
12380.328,1.8428048587618946
12380.328,1.86151246064695
12380.328,1.884271637706586
12380.343,1.904843329318601
12380.343,1.9302392318356343
12380.343,1.9198351053783622
12380.343,1.939228844239516
12380.359,1.9599035466362404
12380.39,1.9791559738227207
12380.421,2.0029650414817493
12380.421,2.0223975474852844
12380.468,2.050452918991865
12380.484,2.078329479797662
12380.5,2.096365115714915
12380.5,2.0632996841180673
12380.515,2.060142596793129
12380.515,2.066017221885737
12380.515,2.067614380009417
12380.531,2.062123698185245
12380.531,2.0867086047517476
12380.531,2.0644435472874942
12380.531,2.0484544917146605
12380.546,2.061496682495846
12380.546,2.0632193833733536
12380.546,2.0849122842167174
12380.546,2.066234164770214
12380.546,2.035578463069718
12380.562,2.0374402977957846
12380.562,2.061443772047435
12380.562,2.0834201370160996
12380.562,2.107982031196548
12380.562,2.1312477965529286
12380.578,2.155991766374805
12380.578,2.1774176056000574
12380.593,2.2018493605817877
12380.609,2.2230414439917183
12380.625,2.221835953385823
12380.64,2.2447140297775587
12380.671,2.1965197344718277
12380.687,2.1975609724629983
12380.703,2.0375569863651513
12380.718,2.05686047906653
12380.765,2.0681971999286684
12380.796,2.090424563522334
12380.812,2.1102937147781504
12380.812,2.109310349893122
12380.828,2.059938137809326
12380.828,2.0437204456126135
12380.843,2.034754108256325
12380.937,2.025902665235903
12381.093,1.9355952744185942
12381.109,1.7530179582037881
12381.125,1.754739037272807
12381.14,1.7351873278530803
12381.156,1.747654975507955
12381.156,1.769470025971732
12381.171,1.7906363168270143
12381.171,1.8075402423208
12381.171,1.828935706128323
12381.187,1.850228628391424
12381.187,1.8714681954760728
12381.218,1.8726953773969437
12381.234,1.8706479497076614
12381.25,1.8573299784476576
12381.265,1.8399608844781346
12381.296,1.854646548237435
12381.296,1.8234847417097502
12381.328,1.7433846715387333
12381.343,1.6574435049636826
12381.359,1.6254512740369542
12381.359,1.6393195002873926
12381.359,1.6553728639253604
12381.359,1.675522085093435
12381.375,1.6830146550659673
12381.375,1.702034353489056
12381.468,1.7140290476730167
12381.484,1.7246778601277502
12381.484,1.7273997233348553
12381.484,1.742288909330485
12381.5,1.7432625751015212
12381.515,1.7598812072087602
12381.531,1.7791910292367332
12381.546,1.7892212409256893
12381.562,1.7868243015272802
12381.578,1.7883442813573647
12381.578,1.7461567085782603
12381.578,1.6360631327122444
12381.578,1.4946548804522197
12381.578,1.3948280075677342
12381.593,1.3402160506827834
12381.593,1.2858684719027962
12381.593,1.2783413505152947
12381.609,1.2890474958197138
12381.609,1.307084616416929
12381.609,1.3206210486176002
12381.609,1.3380725620183256
12381.609,1.3531414364477872
12381.609,1.370713852127966
12381.625,1.3865556091830866
12381.625,1.3975235847169
12381.625,1.4095739296283254
12381.64,1.4172576569426982
12381.64,1.3821344077926452
12381.656,1.3710590198208397
12381.656,1.3416646404941601
12381.671,1.3054587007506777
12381.687,1.2576056054077815
12381.703,1.2207724306225693
12381.703,1.216137401483482
12381.718,1.2283108275534624
12381.75,1.2361827615644072
12381.75,1.2473790576878043
12381.89,1.2607630690218494
12382.156,1.2780048828731336
12382.171,1.3008073017973536
12382.171,1.3233494132487875
12382.187,1.3426057552663568
12382.187,1.351807305999573
12382.296,1.3872099060026488
12382.296,1.3974929538348981
12382.296,1.402728925720664
12382.296,1.4249169694953863
12382.296,1.4419583922109132
12382.312,1.4449069543095752
12382.328,1.4522481616914187
12382.328,1.4386244899902465
12382.343,1.456949362299778
12382.375,1.4600330566991624
12382.375,1.454412383057271
12382.39,1.4655424965400203
12382.406,1.5003788337861064
12382.421,1.5156198406377661
12382.421,1.53111154340773
12382.421,1.5466270385876568
12382.421,1.5646410357419418
12382.484,1.599451942225101
12382.625,1.6245819709462705
12382.656,1.66128741426149
12382.656,1.6915127136403245
12382.656,1.6941040084516337
12382.656,1.7060468273405993
12382.671,1.7109162007250327
12382.671,1.719453428422018
12382.765,1.7186330137220207
12382.906,1.7186330137220207
12382.906,1.7189844786069348
12382.968,1.7082192485538
12382.968,1.694220389886763
12382.984,1.7028084798328105
12382.984,1.7046848576840463
12383.0,1.7180450960032159
12383.0,1.704054191773674
12383.0,1.720337040010784
12383.015,1.722007766325269
12383.015,1.7282423725727105
12383.015,1.7550070148538197
12383.031,1.7247682280822585
12383.031,1.7147063221432415
12383.031,1.6766633911782782
12383.046,1.6655297350637142
12383.046,1.6793526037153064
12383.062,1.6793526037153075
12383.062,1.644981308267866
12383.062,1.6168724441326279
12383.078,1.6087087267765963
12383.078,1.6127923826100923
12383.078,1.6482087714876248
12383.078,1.684515320487627
12383.093,1.6933964402518837
12383.125,1.7043814634167593
12383.14,1.7150854306375063
12383.14,1.739870176056736
12383.265,1.760347179700694
12383.281,1.749964032797625
12383.296,1.7393852365233884
12383.296,1.6980029552780098
12383.296,1.6670272389989065
12383.312,1.6387288287094282
12383.312,1.6216883889422786
12383.328,1.5858964804514621
12383.406,1.546911326243722
12383.421,1.5459617460842652
12383.421,1.521504052944861
12383.421,1.5105103305190546
12383.437,1.5077451642045239
12383.453,1.5226704486675156
12383.578,1.5218279499547596
12383.593,1.5366928532656825
12383.593,1.5397147048306676
12383.593,1.551616591499549
12383.593,1.5584373291448563
12383.609,1.5688832721736716
12383.609,1.5729437366498895
12383.609,1.5910657933730548
12383.625,1.6290739373666294
12383.625,1.6425201598127848
12383.625,1.6612826352779608
12383.718,1.6553091061893643
12383.718,1.65262048165858
12383.734,1.6500643960774357
12383.75,1.6281565640420292
12383.765,1.5793584352190293
12383.781,1.5691236516919613
12383.796,1.5819972306124417
12383.796,1.5841854482145417
12383.796,1.57954609709946
12383.796,1.5487125847115033
12383.812,1.5496501695940357
12383.89,1.5711835776592784
12383.921,1.579641240359807
12383.937,1.582656120271684
12383.937,1.5954897081704977
12383.937,1.5970416622337036
12383.953,1.6068718499340953
12383.953,1.6075379391068545
