t,msg_type,payload
1773704294.4405437,ReferenceFreqMsg,"{'t': 1773704294.4405437, 'f_ref': 7.5}"
1773704294.4425418,ReferenceFreqMsg,"{'t': 1773704294.4425418, 'f_ref': 7.5}"
1773704294.4446821,ReferenceFreqMsg,"{'t': 1773704294.4446821, 'f_ref': 7.5}"
1773704294.4462488,ReferenceFreqMsg,"{'t': 1773704294.4462488, 'f_ref': 7.5}"
1773704294.447752,ReferenceFreqMsg,"{'t': 1773704294.447752, 'f_ref': 7.5}"
1773704294.4506245,ReferenceFreqMsg,"{'t': 1773704294.4506245, 'f_ref': 7.5}"
1773704294.4520957,ReferenceFreqMsg,"{'t': 1773704294.4520957, 'f_ref': 7.5}"
1773704294.4546642,ReferenceFreqMsg,"{'t': 1773704294.4546642, 'f_ref': 7.5}"
1773704294.4574237,ReferenceFreqMsg,"{'t': 1773704294.4574237, 'f_ref': 7.5}"
1773704294.4589248,ReferenceFreqMsg,"{'t': 1773704294.4589248, 'f_ref': 7.5}"
1773704294.460536,ReferenceFreqMsg,"{'t': 1773704294.460536, 'f_ref': 7.5}"
1773704294.4619155,ReferenceFreqMsg,"{'t': 1773704294.4619155, 'f_ref': 7.5}"
1773704294.4638703,ReferenceFreqMsg,"{'t': 1773704294.4638703, 'f_ref': 7.5}"
1773704294.4746926,ReferenceFreqMsg,"{'t': 1773704294.4746926, 'f_ref': 7.5}"
1773704294.4766827,ReferenceFreqMsg,"{'t': 1773704294.4766827, 'f_ref': 7.5}"
1773704294.478395,ReferenceFreqMsg,"{'t': 1773704294.478395, 'f_ref': 7.5}"
1773704294.4798398,ReferenceFreqMsg,"{'t': 1773704294.4798398, 'f_ref': 7.5}"
1773704294.4817028,ReferenceFreqMsg,"{'t': 1773704294.4817028, 'f_ref': 7.5}"
1773704294.4847145,ReferenceFreqMsg,"{'t': 1773704294.4847145, 'f_ref': 7.5}"
1773704294.486304,ReferenceFreqMsg,"{'t': 1773704294.486304, 'f_ref': 7.5}"
1773704294.4879203,ReferenceFreqMsg,"{'t': 1773704294.4879203, 'f_ref': 7.5}"
1773704294.4892986,ReferenceFreqMsg,"{'t': 1773704294.4892986, 'f_ref': 7.5}"
1773704294.4919322,ReferenceFreqMsg,"{'t': 1773704294.4919322, 'f_ref': 7.5}"
1773704294.4938452,ReferenceFreqMsg,"{'t': 1773704294.4938452, 'f_ref': 7.5}"
1773704294.49555,ReferenceFreqMsg,"{'t': 1773704294.49555, 'f_ref': 7.5}"
1773704294.498254,ReferenceFreqMsg,"{'t': 1773704294.498254, 'f_ref': 7.5}"
1773704294.5009499,ReferenceFreqMsg,"{'t': 1773704294.5009499, 'f_ref': 7.5}"
1773704294.5023265,ReferenceFreqMsg,"{'t': 1773704294.5023265, 'f_ref': 7.5}"
1773704294.5038307,ReferenceFreqMsg,"{'t': 1773704294.5038307, 'f_ref': 7.5}"
1773704294.5052342,ReferenceFreqMsg,"{'t': 1773704294.5052342, 'f_ref': 7.5}"
1773704294.5071561,ReferenceFreqMsg,"{'t': 1773704294.5071561, 'f_ref': 7.5}"
1773704294.5085802,ReferenceFreqMsg,"{'t': 1773704294.5085802, 'f_ref': 7.5}"
1773704294.5107305,ReferenceFreqMsg,"{'t': 1773704294.5107305, 'f_ref': 7.5}"
1773704294.51229,ReferenceFreqMsg,"{'t': 1773704294.51229, 'f_ref': 7.5}"
1773704294.5141652,ReferenceFreqMsg,"{'t': 1773704294.5141652, 'f_ref': 7.5}"
